=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 125 of 133
runtime_tpchd_SQLServer_testonMac faster: 123 queries (98.4%)
runtime_tpchd_trainonVM_testonMac faster: 2 queries (1.6%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 123 of 125 comparable queries (98.4%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 17 of 133
"Mean difference (n=17): 14,315.12 ms"
"Median difference (n=17): 8,684.00 ms"
runtime_tpchd_SQLServer_testonMac faster: 15 queries (88.2%)
runtime_tpchd_trainonVM_testonMac faster: 2 queries (11.8%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 15 of 17 head-to-head queries (88.2%)

Query,runtime_tpchd_SQLServer_testonMac Runtime (ms),runtime_tpchd_trainonVM_testonMac Runtime (ms),Faster Model,Difference
Job46v1,581,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job46v2,751,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job46v3,"5,316",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job48v1,"24,249","37,661",runtime_tpchd_SQLServer_testonMac,"13,412 ms faster"
Job49v1,"45,859",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job49v2,"3,542",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job56v2,0,Bad Plan,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Bad Plan)
Job58v2,"28,256",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job58v4,"46,981",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job59v3,441,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job59v4,229,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job63v0,568,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job63v1,"11,332",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job63v3,7,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job68v1,"22,544",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job68v2,756,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonVM_testonMac failed (Timeout)
Job68v3,399,"1,278",runtime_tpchd_SQLServer_testonMac,879 ms faster
