=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 125 of 133
runtime_tpchd_SQLServer_testonVM faster: 102 queries (81.6%)
runtime_tpchd_trainonVM_testonVM faster: 23 queries (18.4%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 102 of 125 comparable queries (81.6%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 61 of 133
"Mean difference (n=61): 18,680.70 ms"
"Median difference (n=61): 1,913.00 ms"
runtime_tpchd_SQLServer_testonVM faster: 42 queries (68.9%)
runtime_tpchd_trainonVM_testonVM faster: 19 queries (31.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 42 of 61 head-to-head queries (68.9%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonVM_testonVM Runtime (ms),Faster Model,Difference
Job6v4,"11,707","61,293",runtime_tpchd_SQLServer_testonVM,"49,586 ms faster"
Job74v0,92,694,runtime_tpchd_SQLServer_testonVM,602 ms faster
Job74v2,"7,495","6,957",runtime_tpchd_trainonVM_testonVM,-538 ms slower
Job74v4,40,260,runtime_tpchd_SQLServer_testonVM,220 ms faster
Job75v2,"5,722",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job76v0,"13,847",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job76v2,40,38,runtime_tpchd_trainonVM_testonVM,-2 ms slower
Job76v3,"63,306","135,337",runtime_tpchd_SQLServer_testonVM,"72,031 ms faster"
Job76v4,"23,340","69,804",runtime_tpchd_SQLServer_testonVM,"46,464 ms faster"
Job78v4,398,"1,014",runtime_tpchd_SQLServer_testonVM,616 ms faster
Job79v0,"61,270","145,062",runtime_tpchd_SQLServer_testonVM,"83,792 ms faster"
Job85v3,"3,780",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job90v2,"10,897",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job91v2,570,"1,200",runtime_tpchd_SQLServer_testonVM,630 ms faster
Job9v1,"2,200","11,717",runtime_tpchd_SQLServer_testonVM,"9,517 ms faster"
Job9v3,"1,682",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
Job9v4,"2,068",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonVM_testonVM failed (Timeout)
