=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 127 of 133
runtime_tpchd_SQLServer_testonMac faster: 111 queries (87.4%)
runtime_tpchd_trainonMac_testonMac faster: 16 queries (12.6%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 111 of 127 comparable queries (87.4%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 63 of 133
runtime_tpchd_SQLServer_testonMac faster: 48 queries (76.2%)
runtime_tpchd_trainonMac_testonMac faster: 15 queries (23.8%)
Winner: runtime_tpchd_SQLServer_testonMac — faster on 48 of 63 head-to-head queries (76.2%)

Query,runtime_tpchd_SQLServer_testonMac Runtime (ms),runtime_tpchd_trainonMac_testonMac Runtime (ms),Faster Model,Difference
Job2v2,"9,483",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job31v0,"82,539",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job369v1,"17,802",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job369v4,"72,364",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job37v0,"3,514",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job37v3,"8,717",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job37v4,"3,937","186,783",runtime_tpchd_SQLServer_testonMac,"182,846 ms faster"
Job38v0,"407,209","53,827",runtime_tpchd_trainonMac_testonMac,"353,382 ms faster"
Job38v1,"34,279","31,081",runtime_tpchd_trainonMac_testonMac,"3,198 ms faster"
Job38v2,"10,626","22,317",runtime_tpchd_SQLServer_testonMac,"11,691 ms faster"
Job38v3,"12,760","1,193,107",runtime_tpchd_SQLServer_testonMac,"1,180,347 ms faster"
Job39v1,802,"1,535",runtime_tpchd_SQLServer_testonMac,733 ms faster
Job39v3,56,36,runtime_tpchd_trainonMac_testonMac,20 ms faster
Job44v3,"153,462",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job46v0,"1,674",911,runtime_tpchd_trainonMac_testonMac,763 ms faster
Job46v1,581,"1,558",runtime_tpchd_SQLServer_testonMac,977 ms faster
Job46v2,751,649,runtime_tpchd_trainonMac_testonMac,102 ms faster
Job46v3,"5,316",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job48v1,"24,249",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job49v1,"45,859",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job49v2,"3,542","20,144",runtime_tpchd_SQLServer_testonMac,"16,602 ms faster"
Job56v2,0,Bad Plan,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Bad Plan)
Job58v2,"28,256",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job58v4,"46,981","70,531",runtime_tpchd_SQLServer_testonMac,"23,550 ms faster"
Job59v3,441,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job59v4,229,"174,947",runtime_tpchd_SQLServer_testonMac,"174,718 ms faster"
Job63v0,568,Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job63v1,"11,332","18,586",runtime_tpchd_SQLServer_testonMac,"7,254 ms faster"
Job63v3,7,418,runtime_tpchd_SQLServer_testonMac,411 ms faster
Job68v1,"22,544","40,514",runtime_tpchd_SQLServer_testonMac,"17,970 ms faster"
Job68v2,756,"5,510",runtime_tpchd_SQLServer_testonMac,"4,754 ms faster"
Job68v3,399,"1,452",runtime_tpchd_SQLServer_testonMac,"1,053 ms faster"
Job68v4,"16,122","23,080",runtime_tpchd_SQLServer_testonMac,"6,958 ms faster"
Job6v1,"22,551","96,385",runtime_tpchd_SQLServer_testonMac,"73,834 ms faster"
Job6v2,"54,557",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job6v3,"7,051","20,647",runtime_tpchd_SQLServer_testonMac,"13,596 ms faster"
Job6v4,"8,979","30,287",runtime_tpchd_SQLServer_testonMac,"21,308 ms faster"
Job74v0,73,130,runtime_tpchd_SQLServer_testonMac,57 ms faster
Job74v2,"5,775","10,944",runtime_tpchd_SQLServer_testonMac,"5,169 ms faster"
Job74v4,32,494,runtime_tpchd_SQLServer_testonMac,462 ms faster
Job75v2,"4,279","5,338",runtime_tpchd_SQLServer_testonMac,"1,059 ms faster"
Job76v0,"10,749","14,417",runtime_tpchd_SQLServer_testonMac,"3,668 ms faster"
Job76v2,34,35,runtime_tpchd_SQLServer_testonMac,1 ms faster
Job76v3,"97,846","74,776",runtime_tpchd_trainonMac_testonMac,"23,070 ms faster"
Job76v4,"17,401",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job78v4,214,"1,318",runtime_tpchd_SQLServer_testonMac,"1,104 ms faster"
Job79v0,"49,140","53,977",runtime_tpchd_SQLServer_testonMac,"4,837 ms faster"
Job85v3,"2,649",Timeout,runtime_tpchd_SQLServer_testonMac,runtime_tpchd_trainonMac_testonMac failed (Timeout)
Job90v2,"9,098","27,167",runtime_tpchd_SQLServer_testonMac,"18,069 ms faster"
Job91v2,402,772,runtime_tpchd_SQLServer_testonMac,370 ms faster
Job9v1,"1,724","11,087",runtime_tpchd_SQLServer_testonMac,"9,363 ms faster"
Job9v3,"1,173","4,601",runtime_tpchd_SQLServer_testonMac,"3,428 ms faster"
Job9v4,"1,378","6,056",runtime_tpchd_SQLServer_testonMac,"4,678 ms faster"
