=== SUMMARY: ALL COMPARABLE QUERIES ===
Includes queries where at least one model executed successfully (other may have timed out or bad plan)
Total queries compared: 124 of 133
runtime_tpchd_SQLServer_testonVM faster: 114 queries (91.9%)
runtime_tpchd_trainonMac_testonVM faster: 10 queries (8.1%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 114 of 124 comparable queries (91.9%)

=== SUMMARY: HEAD-TO-HEAD (BOTH MODELS EXECUTED SUCCESSFULLY) ===
Excludes any query where either model timed out or produced a bad plan
Total queries where both executed: 50 of 133
"Mean difference (n=50): 53,911.86 ms"
"Median difference (n=50): 9,858.50 ms"
runtime_tpchd_SQLServer_testonVM faster: 43 queries (86.0%)
runtime_tpchd_trainonMac_testonVM faster: 7 queries (14.0%)
Winner: runtime_tpchd_SQLServer_testonVM — faster on 43 of 50 head-to-head queries (86.0%)

Query,runtime_tpchd_SQLServer_testonVM Runtime (ms),runtime_tpchd_trainonMac_testonVM Runtime (ms),Faster Model,Difference
Job253v0,Timeout,Timeout,N/A (both failed or missing),
Job253v1,"8,891","122,930",runtime_tpchd_SQLServer_testonVM,"114,039 ms faster"
Job253v4,Timeout,"288,347",runtime_tpchd_trainonMac_testonVM,runtime_tpchd_SQLServer_testonVM failed (Timeout)
Job25v1,Timeout,"1,422,601",runtime_tpchd_trainonMac_testonVM,runtime_tpchd_SQLServer_testonVM failed (Timeout)
Job25v4,"68,148",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job27v4,"49,311",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job285v4,"13,952",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job2v2,"13,374",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job31v0,"100,860",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
Job369v1,"24,603",Timeout,runtime_tpchd_SQLServer_testonVM,runtime_tpchd_trainonMac_testonVM failed (Timeout)
